Name,Price,Drive-type,Fuel-type,Transmission,Engine,Mileague
2019 FIAT 124 Spider Lusso,"$25,692 ", Rear-wheel Drive ,Gasoline ,6-Speed Manual,1.4L I4 16V MPFI SOHC Turbo," 11,696 mi. "
2019 Mercedes-Benz AMG GLE 43 4MATIC Coupe,"$55,995 ", All-wheel Drive ,Gasoline ,9-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo," 55,321 mi. "
2023 Toyota Camry SE Nightshade,"$31,702 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,2.5L I4 16V PDI DOHC," 4,596 mi. "
2020 Mercedes-Benz AMG GT 53 Base,"$77,449 ", All-wheel Drive ,Gasoline ,9-Speed Automatic,3.0L I6 24V GDI DOHC Turbo," 29,985 mi. "
2023 Jeep Wrangler Sport,"$38,390 ", Four-wheel Drive ,Gasoline ,Automatic,3.6L V6 24V MPFI DOHC, 11 mi. 
2017 Buick LaCrosse Essence,"$14,421 ", Front-wheel Drive ,Gasoline ,8-Speed Automatic,3.6L V6 24V GDI DOHC," 120,004 mi. "
2023 Audi S3 2.0T quattro Premium,"$55,490 ", All-wheel Drive ,Gasoline ,Automatic,2.0L I4 16V GDI DOHC Turbo, 35 mi. 
2023 Mazda CX-30 Premium Package,"$33,109 ", All-wheel Drive ,Gasoline ,6-Speed Automatic,2.5L I4 16V, 40 mi. 
2014 Hyundai Elantra SE,"$7,999 ", Front-wheel Drive ,Gasoline ,6-Speed Automatic,1.8L I4 16V MPFI DOHC," 149,393 mi. "
2022 Ford Mustang Mach-E Select,"$41,000 ", Rear-wheel Drive ,1-Speed Automatic,Electric, 3FMTK1RM2NMA58565 ,"

Adaptive Cruise ControlKeyless StartNavigation System

"
2017 Ford F-150 Raptor,"$39,988 ", Four-wheel Drive ,Gasoline ,10-Speed Automatic,3.5L V6 24V GDI DOHC Twin Turbo," 114,705 mi. "
2023 GMC Yukon XL Denali,"$89,590 ", Four-wheel Drive ,Gasoline ,Automatic,"EcoTec3 6.2L V-8 gasoline direct injection, variable valve contr", 6 mi. 
2022 Honda Ridgeline RTL-E,"$39,172 ", All-wheel Drive ,Gasoline ,9-Speed Automatic,3.5L V6 24V GDI SOHC," 11,669 mi. "
2023 Mazda CX-5 2.5 S Preferred Package,"$32,269 ", All-wheel Drive ,Gasoline ,6-Speed Automatic,2.5L I4 16V GDI DOHC, 5 mi. 
2023 Nissan Rogue SV,"$28,943 ", All-wheel Drive ,Gasoline ,Automatic CVT,1.5L I3 12V GDI DOHC Turbo," 2,128 mi. "
2023 Audi A4 allroad 45 quattro Premium,"$55,735 ", All-wheel Drive ,Gasoline ,Automatic,2.0L I4 16V GDI DOHC Turbo, 10 mi. 
2016 Toyota Avalon XLE Premium,"$19,484 ", Front-wheel Drive ,Gasoline ,6-Speed Automatic,3.5L V6 24V MPFI DOHC," 53,497 mi. "
2014 Chevrolet Camaro 2SS,"$31,308 ", Rear-wheel Drive ,Gasoline ,6-Speed Manual,6.2L V8 16V MPFI OHV," 17,765 mi. "
2021 Toyota Highlander Hybrid XLE,"$41,377 ", All-wheel Drive ,Hybrid ,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid," 33,926 mi. "
2022 Volkswagen Arteon 2.0T SEL R-Line,"$40,500 ", All-wheel Drive ,Gasoline ,7-Speed Automatic,2.0L I4 16V GDI DOHC Turbo," 7,411 mi. "
2021 Subaru Outback Touring XT,"$34,452 ", All-wheel Drive ,Gasoline ,Automatic CVT,2.4L H4 16V GDI DOHC Turbo," 23,453 mi. "
2016 Jaguar F-TYPE S,"$39,457 ", Rear-wheel Drive ,Gasoline ,8-Speed Automatic,3.0L V6 24V GDI DOHC Supercharged," 33,718 mi. "
2021 Lexus RX 450h Base,"$44,797 ", All-wheel Drive ,Hybrid ,Automatic CVT,3.5L V6 24V PDI DOHC Hybrid," 55,831 mi. "
2024 GMC Sierra 2500 Base,"$77,625 ", Four-wheel Drive ,Gasoline ,Automatic,"6.6L V-8 gasoline direct injection, variable valve control, engi", 10 mi. 
2023 Audi e-tron Premium Plus quattro,"$80,295 ", All-wheel Drive ,Automatic,0, WA1LAAGEXPB015468 ,"

Adaptive Cruise ControlHeated SeatsHeated Steering WheelKeyless StartNavigation SystemPower Liftgate

"
2023 Subaru Forester Sport,"$35,056 ", AWD ,Gasoline ,Automatic CVT,2.5L H4 16V GDI DOHC, 0 mi. 
2024 Mercedes-Benz GLE 350 ,"$69,840 ", – ,Gasoline ,9-Speed Automatic with Overdrive,I4, 21 mi. 
2021 Jeep Wrangler Unlimited 4xe Sahara,"$41,739 ", Four-wheel Drive ,Hybrid ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo Hybrid," 53,017 mi. "
2023 Toyota Corolla Cross L,"$30,724 ", All-wheel Drive ,Gasoline ,Automatic CVT,2.0L I4 16V PDI DOHC, 1 mi. 
2021 Volkswagen Jetta GLI 2.0T S,"$26,000 ", Front-wheel Drive ,Gasoline ,6-Speed Manual,2.0L I4 16V GDI DOHC Turbo," 21,024 mi. "
2023 Mazda Mazda3 FWD w/Premium Package,"$31,470 ", Front-wheel Drive ,Gasoline ,6-Speed Manual,2.5L I4 16V GDI DOHC, 1 mi. 
1998 Porsche 911 Carrera Cabriolet,"$98,950 ", Rear-wheel Drive ,Gasoline ,6-Speed Manual,3.6L H6 12V MPFI SOHC," 47,152 mi. "
2019 Ford F-250 XL-LOW MILES! BACKUP CAM!+MORE!,"$34,000 ", Rear-wheel Drive ,E85 Flex Fuel ,6-Speed Automatic,6.2L V8 16V MPFI SOHC Flexible Fuel," 39,895 mi. "
2020 GMC Acadia SLT,"$32,000 ", All-wheel Drive ,Gasoline ,9-Speed Automatic,3.6L V6 24V GDI DOHC," 32,894 mi. "
2019 Honda Odyssey EX,"$30,476 ", Front-wheel Drive ,Gasoline ,9-Speed Automatic,3.5L V6 24V GDI SOHC," 43,052 mi. "
2023 Cadillac CT4-V V-Series,"$51,100 ", All-wheel Drive ,Gasoline ,10-Speed Automatic,2.7L I4 16V GDI DOHC Turbo, 7 mi. 
2019 Ford F-150 ,"$26,138 ", Four-wheel Drive ,Gasoline ,Automatic,2.7L V6 24V PDI DOHC Twin Turbo," 96,130 mi. "
2023 BMW M8 Competition,"$151,585 ", All-wheel Drive ,Gasoline ,Automatic,Twin Turbo Premium Unleaded V-8 4.4 L/268, 72 mi. 
2019 Cadillac XT5 Luxury,"$26,900 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,3.6L V6 24V GDI DOHC," 47,914 mi. "
2023 Toyota Tundra SR5,"$60,257 ", 4WD ,Gasoline ,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo, 0 mi. 
2022 Ford Bronco Wildtrak,"$65,051 ", Four-wheel Drive ,Gasoline ,10-Speed Automatic,2.7L V6 24V PDI DOHC Twin Turbo, 583 mi. 
2022 Ford Expedition Max Limited,"$68,904 ", Four-wheel Drive ,Gasoline ,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo," 19,185 mi. "
2018 Tesla Model X 100D,"$59,933 ", All-wheel Drive ,1-Speed Automatic,Electric, 5YJXCDE20JF120973 ,"

Heated SeatsHeated Steering WheelNavigation SystemPower Liftgate

"
2016 Ford Explorer Platinum,"$26,498 ", Four-wheel Drive ,Gasoline ,6-Speed Automatic,3.5L V6 24V GDI DOHC Twin Turbo," 50,560 mi. "
2023 Chevrolet Colorado Z71,"$45,205 ", Four-wheel Drive ,Gasoline ,Automatic,"2.7L I-4 gasoline direct injection, DOHC, variable valve control", 5 mi. 
2016 Audi S5 3.0T Premium Plus,"$21,995 ", All-wheel Drive ,Gasoline ,7-Speed Automatic with Auto-Shift,3.0L V6 24V GDI DOHC Supercharged," 92,343 mi. "
2020 RAM 2500 Limited,"$69,969 ", Four-wheel Drive ,Diesel ,6-Speed Automatic,6.7L I6 24V DDI OHV Turbo Diesel," 26,748 mi. "
2023 Bentley Bentayga ,"$241,390 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo, 20 mi. 
2021 Mercedes-Benz AMG A 35 Base,"$45,000 ", All-wheel Drive ,Gasoline ,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo," 17,944 mi. "
2020 Ford Mustang GT Premium,"$41,999 ", Rear-wheel Drive ,Gasoline ,Automatic,Premium Unleaded V-8 5.0 L/302," 20,931 mi. "
2020 Tesla Model Y Long Range,"$43,990 ", All-wheel Drive ,1-Speed Automatic,Electric, 5YJYGDEE1LF036635 ,"

Adaptive Cruise ControlHeated SeatsKeyless StartNavigation SystemPower Liftgate

"
2020 RAM 1500 Tradesman,"$29,785 ", Four-wheel Drive ,Gasoline ,8-Speed Automatic,5.7L V8 16V MPFI OHV," 72,990 mi. "
2023 Nissan Leaf S 40 kWh,"$29,860 ", Front-wheel Drive ,Automatic,Electric Motor, 1N4AZ1BV6PC558121 ,"

Adaptive Cruise ControlKeyless Start

"
2021 Cadillac Escalade Sport,"$95,775 ", Four-wheel Drive ,Gasoline ,10-Speed Automatic,6.2L V8 16V GDI OHV," 24,479 mi. "
2023 Jeep Cherokee Altitude Lux,"$40,000 ", Four-wheel Drive ,Gasoline ,9-Speed Automatic,2.4L I4 16V MPFI SOHC, 7 mi. 
2020 Ford F-150 XLT,"$29,677 ", Rear-wheel Drive ,Gasoline ,10-Speed Automatic,5.0L V8 32V PDI DOHC," 64,292 mi. "
2021 Ford F-150 XLT,"$44,799 ", Four-wheel Drive ,Gasoline ,10-Speed Automatic,5.0L V8 32V PDI DOHC," 34,457 mi. "
2021 Toyota RAV4 Hybrid XLE,"$34,802 ", All-wheel Drive ,Hybrid ,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid," 21,524 mi. "
2022 Audi Q5 S line Premium,"$41,999 ", All-wheel Drive ,Hybrid ,Automatic,Intercooled Turbo Gas/Electric I-4 2.0 L/121," 8,456 mi. "
2023 Jeep Grand Cherokee L Limited,"$59,475 ", Four-wheel Drive ,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC, 147 mi. 
2021 Hyundai Venue SE,"$17,579 ", Front-wheel Drive ,Gasoline ,Automatic CVT,1.6L I4 16V MPFI DOHC," 57,807 mi. "
2018 Dodge Durango GT,"$27,498 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC," 47,765 mi. "
2016 FIAT 500e Battery Electric,"$10,998 ", Front-wheel Drive ,1-Speed Automatic,Electric, 3C3CFFGE5GT155273 ,"

Navigation System

"
2019 BMW M2 Competition,"$56,495 ", Rear-wheel Drive ,Gasoline ,Manual,Twin Turbo Premium Unleaded I-6 3.0 L/182," 17,100 mi. "
2023 Ford Mustang EcoBoost Premium,"$38,787 ", Rear-wheel Drive ,Gasoline ,6-Speed Manual,2.3L I4 16V GDI DOHC Turbo, 0 mi. 
2023 Jeep Wrangler Willys,"$70,410 ", Four-wheel Drive ,Hybrid ,Automatic,Gas/Electric V-6 3.6 L/220, 14 mi. 
2022 Mitsubishi Outlander Sport SE,"$28,940 ", Four-wheel Drive ,Gasoline ,CVT,"2L I-4 DOHC, MIVEC variable valve control, engine with 148HP", 3 mi. 
2017 Jaguar XF 20d Premium,"$17,985 ", Rear-wheel Drive ,Diesel ,8-Speed Automatic,2.0L I4 16V DDI DOHC Turbo Diesel," 83,454 mi. "
2020 Cadillac Escalade Platinum,"$62,500 ", Four-wheel Drive ,Gasoline ,10-Speed Automatic,6.2L V8 16V GDI OHV," 39,506 mi. "
2009 Ford Mustang Shelby GT500,"$38,765 ", Rear-wheel Drive ,Gasoline ,Manual,Supercharged Gas V8 5.4L/330," 15,813 mi. "
2023 Subaru WRX Premium,"$35,038 ", AWD ,Gasoline ,Manual,2.4L H4 16V GDI DOHC Turbo, 0 mi. 
2023 Ford F-250 XL,"$65,296 ", Four-wheel Drive ,Gasoline ,Automatic,6.8L 8 Cylinder, 4 mi. 
2023 Volvo XC90 Core,"$59,810 ", All-wheel Drive ,Hybrid ,Automatic,Intercooled Turbo Gas/Electric I-4 2.0 L/120, 0 mi. 
2021 Jeep Wrangler Sport,"$33,435 ", Four-wheel Drive ,Gasoline ,6-Speed Manual,3.6L V6 24V MPFI DOHC," 16,752 mi. "
2022 Jeep Wrangler Unlimited Sahara,"$54,210 ", Four-wheel Drive ,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC, 44 mi. 
2021 Lexus UX 250h F Sport,"$36,999 ", All-wheel Drive ,Hybrid ,Automatic CVT,2.0L I4 16V PDI DOHC Hybrid," 14,603 mi. "
2015 Kia Optima LX,"$10,459 ", Front-wheel Drive ,Gasoline ,6-Speed Automatic,2.4L I4 16V GDI DOHC," 91,529 mi. "
2020 Ford Expedition Limited,"$38,862 ", Rear-wheel Drive ,Gasoline ,10-Speed Automatic,3.5L V6 24V GDI DOHC Twin Turbo," 75,526 mi. "
2023 Chevrolet Colorado Base,"$40,489 ", Four-wheel Drive ,Gasoline ,Automatic,"2.7L I-4 gasoline direct injection, DOHC, variable valve control", 3 mi. 
2023 Chevrolet Tahoe RST,"$68,995 ", Rear-wheel Drive ,Gasoline ,Automatic,5.3L V8 16V GDI OHV, 10 mi. 
2018 Dodge Charger GT,"$23,990 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC," 83,079 mi. "
2022 Kia EV6 Light,"$35,777 ", Rear-wheel Drive ,1-Speed Automatic,Electric, KNDC34LB6N5072890 ,"

Adaptive Cruise ControlHeated SeatsNavigation System

"
2023 Honda Accord Hybrid Sport,Not Priced, Front-wheel Drive ,Hybrid ,Variable,Gas/Electric I-4 2.0 L/122, 5 mi. 
2021 BMW X5 M50i,"$71,000 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,4.4L V8 32V GDI DOHC Twin Turbo," 31,760 mi. "
2020 Toyota Tundra SR5,"$45,138 ", Four-wheel Drive ,Gasoline ,6-Speed Automatic,5.7L V8 32V MPFI DOHC," 40,524 mi. "
2023 Ford F-150 XLT,"$62,379 ", Four-wheel Drive ,Gasoline ,Automatic,"3.5L V-6 port/direct injection, DOHC, variable valve control, tw", 25 mi. 
2018 Toyota Highlander Hybrid Limited,"$31,999 ", All-wheel Drive ,Hybrid ,Automatic CVT,3.5L V6 24V PDI DOHC Hybrid," 51,024 mi. "
2023 Jeep Grand Cherokee Laredo,"$42,715 ", Four-wheel Drive ,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC, 0 mi. 
2016 BMW 428 i xDrive SULEV,"$18,787 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo," 61,906 mi. "
2021 Hyundai Santa Fe HEV SEL Premium,"$31,797 ", All-wheel Drive ,Hybrid ,6-Speed Automatic,1.6L I4 16V GDI DOHC Turbo Hybrid," 15,635 mi. "
2020 Chevrolet Silverado 2500 WT,"$37,799 ", Four-wheel Drive ,Gasoline ,6-Speed Automatic,6.6L V8 16V GDI OHV," 97,136 mi. "
2012 Mazda Mazda3 i Touring,"$9,250 ", Front-wheel Drive ,Gasoline ,6-Speed Automatic,2.0L I4 16V GDI DOHC," 100,461 mi. "
2020 Toyota Tacoma SR5,"$31,199 ", Four-wheel Drive ,Gasoline ,6-Speed Automatic,3.5L V6 24V PDI DOHC," 51,220 mi. "
2023 Chevrolet Tahoe 4WD Z71,"$75,590 ", Four-wheel Drive ,Gasoline ,Automatic,"EcoTec3 5.3L V-8 gasoline direct injection, variable valve contr", 0 mi. 
2018 BMW 330 i xDrive,"$26,269 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo," 18,899 mi. "
2009 Toyota Highlander Sport,"$7,977 ", All-wheel Drive ,Gasoline ,Automatic,"3.5L V-6 DOHC, variable valve control, engine with 270HP"," 325,000 mi. "
2023 Volvo XC90 B5 Core,"$57,645 ", All-wheel Drive ,Gasoline ,Automatic,2.0L I4 16V GDI DOHC Turbo, 6 mi. 
2020 Chevrolet Colorado LT,"$28,900 ", Four-wheel Drive ,Gasoline ,8-Speed Automatic,3.6L V6 24V GDI DOHC," 35,209 mi. "
2018 Porsche 911 Carrera 4S,"$119,820 ", All-wheel Drive ,Gasoline ,7-Speed Manual,3.0L H6 24V GDI DOHC Twin Turbo," 24,588 mi. "
2015 Jeep Patriot Sport,"$11,393 ", Front-wheel Drive ,Gasoline ,5-Speed Manual,2.0L I4 16V MPFI DOHC," 85,687 mi. "
2016 Ford Fusion SE,"$14,835 ", Front-wheel Drive ,Gasoline ,6-Speed Automatic,1.5L I4 16V GDI DOHC Turbo," 72,124 mi. "
2016 Dodge Challenger R/T Scat Pack,"$38,070 ", Rear-wheel Drive ,Gasoline ,6-Speed Manual,6.4L V8 16V MPFI OHV," 43,402 mi. "
2020 INFINITI Q60 3.0t LUXE,"$28,989 ", Rear-wheel Drive ,Gasoline ,7-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo," 63,870 mi. "
2023 INFINITI QX80 SENSORY,"$84,889 ", Four-wheel Drive ,Gasoline ,Automatic,5.6L V8 32V GDI DOHC, 5 mi. 
2022 Ford F-350 Lariat Super Duty,"$104,135 ", Four-wheel Drive ,Diesel ,10-Speed Automatic,6.7L V8 32V DDI OHV Turbo Diesel, 6 mi. 
2023 Subaru Ascent Touring 7-Passenger,"$50,605 ", All-wheel Drive ,Gasoline ,Automatic CVT,2.4L H4 16V GDI DOHC Turbo, 6 mi. 
2023 Kia Carnival SX Prestige,"$49,285 ", Front-wheel Drive ,Gasoline ,8-Speed Automatic,3.5L V6 24V PDI DOHC, 8 mi. 
2023 Toyota Highlander XLE,"$45,448 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,2.4L I4 16V PDI DOHC Turbo, 4 mi. 
2022 Audi e-tron S Prestige,"$78,695 ", All-wheel Drive ,1-Speed Automatic,Electric, WA1VCBGE3NB041870 ,"

Adaptive Cruise ControlHeated SeatsHeated Steering WheelNavigation SystemPower Liftgate

"
2022 Volkswagen Golf GTI 2.0T S,"$29,988 ", Front-wheel Drive ,Gasoline ,7-Speed Automatic,2.0L I4 16V GDI DOHC Turbo," 9,079 mi. "
2020 Mercedes-Benz AMG S 63 4MATIC,"$124,995 ", All-wheel Drive ,Gasoline ,Automatic,"AMG 4L V-8 gasoline direct injection, DOHC, variable valve contr"," 5,879 mi. "
2013 Porsche 911 Turbo,"$115,500 ", All-wheel Drive ,Gasoline ,–,3.8L H6 24V GDI DOHC Twin Turbo," 21,282 mi. "
2021 Audi R8 5.2 V10,"$162,987 ", Rear-wheel Drive ,Gasoline ,7-Speed Automatic with Auto-Shift,5.2L V10 40V PDI DOHC," 11,960 mi. "
2022 Buick Encore Preferred,"$24,863 ", Front-wheel Drive ,Gasoline ,6-Speed Automatic,1.4L I4 16V GDI DOHC Turbo," 5,903 mi. "
2020 Porsche Taycan Turbo S,"$126,423 ", All-wheel Drive ,2-Speed Automatic,Electric, WP0AC2Y18LSA72337 ,"

Heated SeatsNavigation System

"
2004 Porsche Boxster ,"$16,995 ", Rear-wheel Drive ,Gasoline ,5-Speed Manual,2.7L H6 24V MPFI DOHC," 75,450 mi. "
2021 Porsche Cayenne Base,"$65,977 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,3.0L V6 24V GDI DOHC Turbo," 9,639 mi. "
2019 Porsche Macan S,"$52,495 ", All-wheel Drive ,Gasoline ,7-Speed Automatic with Auto-Shift,3.0L V6 24V GDI DOHC Turbo," 27,814 mi. "
2020 Volvo XC90 T6 Inscription 6 Passenger,"$48,995 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC," 25,556 mi. "
2022 Chevrolet Suburban Premier,"$63,995 ", Rear-wheel Drive ,Gasoline ,Automatic,5.3L V8 16V GDI OHV," 28,355 mi. "
2017 Porsche 911 Carrera,"$88,999 ", Rear-wheel Drive ,Gasoline ,7-Speed,3.0L H6 24V GDI DOHC Twin Turbo," 37,870 mi. "
2023 Toyota 4Runner SR5 Premium,"$51,665 ", Four-wheel Drive ,Gasoline ,5-Speed,4.0L V6 24V MPFI DOHC, 6 mi. 
2019 Toyota Avalon XSE,"$31,001 ", Front-wheel Drive ,Gasoline ,8-Speed Automatic,3.5L V6 24V PDI DOHC," 26,184 mi. "
2023 Honda CR-V EX,"$33,360 ", Front-wheel Drive ,Gasoline ,Automatic CVT,1.5L I4 16V GDI DOHC Turbo, 6 mi. 
2003 Mercedes-Benz SL-Class SL500 Roadster,"$15,999 ", Rear-wheel Drive ,Gasoline ,5-Speed Automatic,5.0L V8 24V MPFI SOHC," 37,856 mi. "
2018 Nissan Frontier S,"$18,994 ", Rear-wheel Drive ,Gasoline ,5-Speed Automatic,2.5L I4 16V MPFI DOHC," 92,233 mi. "
2023 Chrysler Pacifica Hybrid Pinnacle,"$61,658 ", Front-wheel Drive ,Hybrid ,EFLITE SI EVT TRANSMISSION,3.6L V6 24V MPFI DOHC Hybrid, 2 mi. 
2022 Honda CR-V Touring,"$32,795 ", All-wheel Drive ,Gasoline ,Automatic CVT,1.5L I4 16V GDI DOHC Turbo," 27,541 mi. "
2017 Mazda MX-5 Miata RF Club,"$20,999 ", Rear-wheel Drive ,Gasoline ,Manual,Premium Unleaded I-4 2.0 L/122," 74,869 mi. "
2022 Toyota 4Runner Limited,"$51,787 ", Four-wheel Drive ,Gasoline ,5-Speed Automatic,4.0L V6 24V MPFI DOHC," 17,116 mi. "
2016 Mazda CX-3 Grand Touring,"$18,999 ", All-wheel Drive ,Gasoline ,6-Speed Automatic,2.0L I4 16V GDI DOHC," 48,668 mi. "
2019 Hyundai Kona EV Limited,"$18,996 ", Front-wheel Drive ,1-Speed Automatic,Electric, KM8K33AG2KU030296 ,"

Heated Seats

"
2015 Volvo V60 Cross Country T5,"$17,649 ", All-wheel Drive ,Gasoline ,6-Speed Automatic,2.5L I5 20V MPFI DOHC Turbo," 85,845 mi. "
2022 Chevrolet Silverado 3500 High Country,"$77,560 ", Four-wheel Drive ,Diesel ,10-Speed Automatic,6.6L V8 32V DDI OHV Turbo Diesel, 11 mi. 
2022 Alfa Romeo Giulia Ti,"$39,495 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI SOHC Turbo," 3,766 mi. "
2021 Ford Bronco Badlands,"$53,901 ", Four-wheel Drive ,Gasoline ,7-Speed Manual,2.3L I4 16V GDI DOHC Turbo," 8,951 mi. "
2011 Toyota Sienna Limited,"$14,911 ", Front-wheel Drive ,Gasoline ,6-Speed Automatic,3.5L V6 24V MPFI DOHC," 110,511 mi. "
2024 BMW X5 xDrive40i,"$80,755 ", All-wheel Drive ,Gasoline ,Automatic,3.0L I6 24V GDI DOHC Turbo, 1 mi. 
2023 Chevrolet Tahoe 4WD RST,"$74,495 ", Four-wheel Drive ,Gasoline ,Automatic,"EcoTec3 5.3L V-8 gasoline direct injection, variable valve contr", 6 mi. 
2022 Kia Carnival EX,"$37,798 ", Front-wheel Drive ,Gasoline ,8-Speed Automatic,3.5L V6 24V PDI DOHC," 29,237 mi. "
2023 Volvo XC90 Recharge Plug-In Hybrid T8 Ultimate Dark Theme 7-Seater,"$88,365 ", All-wheel Drive ,Hybrid ,Automatic,2.0L I4 16V GDI DOHC Turbo Hybrid, 34 mi. 
2019 Honda Ridgeline Sport,"$33,695 ", All-wheel Drive ,Gasoline ,6-Speed Automatic,3.5L V6 24V GDI SOHC," 15,260 mi. "
2021 Acura RDX Technology Package,"$37,555 ", Front-wheel Drive ,Gasoline ,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo," 20,032 mi. "
2017 Nissan Titan SV,"$24,398 ", Rear-wheel Drive ,Gasoline ,7-Speed Automatic,5.6L V8 32V GDI DOHC," 83,741 mi. "
2021 Volvo V90 T5 Inscription,"$52,962 ", Front-wheel Drive ,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo," 22,892 mi. "
2022 Ford Bronco Base,"$42,988 ", Four-wheel Drive ,Gasoline ,10-Speed Automatic,2.3L I4 16V GDI DOHC Turbo, 339 mi. 
2016 Ford Explorer Sport,"$21,480 ", Four-wheel Drive ,Gasoline ,6-Speed Automatic,3.5L V6 24V GDI DOHC Twin Turbo," 70,974 mi. "
1992 Lexus SC 300 ,"$18,995 ", Rear-wheel Drive ,Gasoline ,5-Speed Manual,3.0L I6 24V MPFI DOHC," 165,795 mi. "
2018 Toyota RAV4 Hybrid XLE,"$27,500 ", All-wheel Drive ,Hybrid ,Automatic CVT,2.5L I4 16V MPFI DOHC Hybrid," 35,413 mi. "
2021 Lexus LS 500 ,"$66,000 ", Rear-wheel Drive ,Gasoline ,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo," 24,681 mi. "
2021 INFINITI QX80 PREMIUM SELECT,"$59,995 ", Four-wheel Drive ,Gasoline ,7-Speed Automatic,5.6L V8 32V GDI DOHC," 21,626 mi. "
2022 BMW 230 i,"$40,981 ", Rear-wheel Drive ,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo," 6,306 mi. "
2023 Chevrolet Camaro 1LT,Not Priced, Rear-wheel Drive ,Gasoline ,10-Speed Automatic,3.6L V6 GDI DOHC, 2 mi. 
2021 INFINITI QX80 PREMIUM SELECT,"$59,995 ", Four-wheel Drive ,Gasoline ,7-Speed Automatic,5.6L V8 32V GDI DOHC," 21,626 mi. "
2022 BMW 230 i,"$40,981 ", Rear-wheel Drive ,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo," 6,306 mi. "
2023 Chevrolet Camaro 1LT,Not Priced, Rear-wheel Drive ,Gasoline ,10-Speed Automatic,3.6L V6 GDI DOHC, 2 mi. 
2022 Lamborghini Urus ,"$338,995 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo, 565 mi. 
2020 BMW X6 xDrive40i,"$62,480 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo," 29,948 mi. "
2021 BMW X5 M Base,"$93,288 ", All-wheel Drive ,Gasoline ,8-Speed Automatic,4.4L V8 32V GDI DOHC Twin Turbo," 13,473 mi. "
2022 Lincoln Corsair Reserve,"$49,174 ", All-wheel Drive ,Gasoline ,Automatic,2.0L I4 16V GDI DOHC Turbo," 5,233 mi. "
2023 Mazda MX-5 Miata Club,"$34,109 ", Rear-wheel Drive ,Gasoline ,6-Speed Manual,2.0L I4 16V GDI DOHC, 5 mi. 
2014 Ford F-150 Lariat,"$18,750 ", Four-wheel Drive ,Gasoline ,6-Speed Automatic,3.5L V6 24V GDI DOHC Twin Turbo," 121,131 mi. "
2024 Chevrolet Trax LT,"$25,435 ", Front-wheel Drive ,Gasoline ,6-Speed Automatic,1.2L I3 12V GDI DOHC Turbo, 2 mi. 
2015 Volkswagen Golf R 4-Door,"$26,250 ", All-wheel Drive ,Gasoline ,6-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo," 66,805 mi. "
2016 Nissan Titan XD SV,"$27,995 ", Four-wheel Drive ,Diesel ,6-Speed Automatic,5.0L V8 32V DDI DOHC Turbo Diesel," 70,346 mi. "
2020 Chrysler 300 Touring,"$22,971 ", Rear-wheel Drive ,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC," 34,394 mi. "
2023 GMC Sierra 2500 AT4,"$83,640 ", Four-wheel Drive ,Diesel ,Automatic,6.6L V8 32V DDI OHV Turbo Diesel, 7 mi. 
2013 Toyota RAV4 XLE,"$19,274 ", Front-wheel Drive ,Gasoline ,6-Speed Automatic,2.5L I4 16V MPFI DOHC," 46,491 mi. "
