Name,Price,Drive-type,Fuel-type,Transmission,Engine,Mileague
2022 Jeep Grand Cherokee 4xe Base,50872,Four-wheel Drive,Hybrid,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo Hybrid,2989
2023 Jeep Grand Cherokee 4xe Base,60650,Four-wheel Drive,Hybrid,Automatic,2.0L I4 16V GDI DOHC Turbo Hybrid,0
2023 Toyota Tacoma TRD Off Road,43988,Four-wheel Drive,Gasoline,6-Speed Automatic,3.5L V6 24V PDI DOHC,1
2023 Ford Maverick Lariat,,Front-wheel Drive,Hybrid,Automatic CVT,2.5L I4 16V MPFI DOHC Hybrid,8
2023 Lexus LX 600 Luxury,109675,Four-wheel Drive,Gasoline,NOT SPECIFIED,3.5L V6 24V PDI DOHC Twin Turbo,
2022 RAM 3500 Longhorn,80956,Rear-wheel Drive,Diesel,Automatic,6.7L I6 24V DDI OHV Turbo Diesel,5
2023 Cadillac CT5-V V-Series Blackwing,100875,Rear-wheel Drive,Gasoline,Automatic,6.2L V8 16V GDI OHV Supercharged,3
2023 Ford F-150 XLT,65180,Four-wheel Drive,Gasoline,10-Speed Automatic,2.7L V6 24V PDI DOHC Twin Turbo,15
2023 Dodge Durango RT,61775,All-wheel Drive,Gasoline,8-Speed Automatic,5.7L V8 16V MPFI OHV,10
2023 Dodge Challenger RT,39553,Rear-wheel Drive,Gasoline,8-Speed Automatic,5.7L V8 16V MPFI OHV,14
2023 Hyundai Santa Fe SEL,39405,Front-wheel Drive,Gasoline,8-Speed Automatic with SHIFTRONIC,2.5L I4 16V PDI DOHC,5
2023 Toyota Venza Nightshade,43097,All-wheel Drive,Hybrid,Automatic,2.5L I4 16V PDI DOHC Hybrid,0
2023 Nissan Titan XD SV,59635,Four-wheel Drive,Gasoline,Automatic,5.6L V8 32V GDI DOHC,5
2023 Jeep Gladiator Sport,52440,Four-wheel Drive,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,13
2023 Ford Bronco Sport Big Bend,36790,Four-wheel Drive,Gasoline,8-Speed Automatic,1.5L I3 12V PDI DOHC Turbo,3
2023 Chevrolet Tahoe Premier,77620,NoInfo,Gasoline,Automatic,5.3L V8 16V GDI OHV,10
2024 BMW X7 xDrive40i,93445,All-wheel Drive,Gasoline,8-Speed Automatic,3.0L I6 24V DOHC,6
2023 GMC Canyon AT4,51975,Four-wheel Drive,Gasoline,8-Speed Automatic,2.7L I4 16V GDI DOHC Turbo,
2023 Jeep Grand Cherokee L Laredo,48070,Rear-wheel Drive,Gasoline,,3.6L V6 24V MPFI DOHC,0
2023 Acura RDX A-Spec Advance Package,52545,All-wheel Drive,Gasoline,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,11
2023 Jeep Grand Wagoneer Series II,102375,Four-wheel Drive,Gasoline,Automatic,3.0L I6 24V GDI DOHC Twin Turbo,16
2023 Chevrolet Corvette Stingray w3LT,,Rear-wheel Drive,Gasoline,8-Speed Automatic,6.2L V8 16V GDI OHV,35
2023 Lexus LS 500 Base,91390,All-wheel Drive,Gasoline,Automatic,3.4L V6 24V PDI DOHC Twin Turbo,10
2023 Ford Escape ST-Line Elite,41055,All-wheel Drive,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,
2023 Kia Sorento Plug-In Hybrid SX Prestige,53985,All-wheel Drive,Hybrid,Automatic,1.6L I4 16V GDI DOHC Turbo Hybrid,9
2023 INFINITI QX60 SENSORY,64620,All-wheel Drive,Gasoline,Automatic,3.5L V6 24V GDI DOHC,2
2023 Ford Bronco,49888,Four-wheel Drive,Gasoline,,2.3L I4 16V GDI DOHC Turbo,
2023 Jeep Grand Cherokee Summit,63302,Four-wheel Drive,Gasoline,Automatic,3.6L V6 24V MPFI DOHC,10
2023 Mazda CX-50 2.5 S Preferred Plus Package,34252,All-wheel Drive,Gasoline,6-Speed Automatic,2.5L I4 16V GDI DOHC,10
2023 Land Rover Range Rover Autobiography,210790,All-wheel Drive,Gasoline,Automatic,4.4L V8 32V GDI DOHC Twin Turbo,10
2019 Mazda CX-5 Grand Touring,25494,All-wheel Drive,Gasoline,6-Speed Automatic,2.5L I4 16V GDI DOHC,53254
2023 Jeep Grand Cherokee L Overland,54532,Four-wheel Drive,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,14
2023 Lexus LC 500 Base,114660,Rear-wheel Drive,Gasoline,Automatic,5.0L V8 32V PDI DOHC,8
2023 Jeep Grand Cherokee L Limited,47693,Four-wheel Drive,Gasoline,Automatic,3.6L V6 24V MPFI DOHC,7
2023 Audi S3 2.0T Premium Plus,56615,All-wheel Drive,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,13
2023 Audi RS e-tron GT Base,157790,All-wheel Drive,1-Speed Automatic,Electric,NoInfo,
2023 Toyota RAV4 Hybrid Limited,43493,All-wheel Drive,Hybrid,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid,1
2023 Audi e-tron GT Premium Plus,99940,All-wheel Drive,1-Speed Automatic,Electric,NoInfo,
2023 Chevrolet Trailblazer LT,28595,Front-wheel Drive,Gasoline,Automatic,1.2L I3 12V GDI DOHC Turbo,5
2023 Mercedes-Benz GLS 450 4MATIC,93885,All-wheel Drive,Gasoline,Automatic,3.0L I6 24V GDI DOHC Turbo,10
2023 Buick Encore GX Select,29434,All-wheel Drive,Gasoline,Automatic,1.3L I3 12V GDI DOHC Turbo,6
2023 Land Rover Range Rover P530 SE,139825,All-wheel Drive,Gasoline,ZF 8-Speed Automatic,4.4L V8 32V GDI DOHC Twin Turbo,16
2023 Toyota Corolla Hybrid,26424,Front-wheel Drive,Hybrid,Automatic CVT,1.8L I4 16V MPFI DOHC Hybrid,5
2023 Audi A3 40 Premium,46635,All-wheel Drive,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,3
2023 Jeep Wrangler Rubicon,57365,Four-wheel Drive,Gasoline,Manual,3.6L V6 24V MPFI DOHC,17
2022 Subaru WRX GT,43710,All-wheel Drive,Gasoline,Automatic CVT,2.4L H4 16V GDI DOHC Turbo,8
2022 RAM 1500 Limited,59500,Rear-wheel Drive,Diesel,Automatic,3.0L V6 24V DDI DOHC Turbo Diesel,20
2023 GMC Sierra 1500 Pro,43210,Four-wheel Drive,Gasoline,8-Speed Automatic,2.7L I4 16V GDI DOHC Turbo,4
2023 Nissan Armada Platinum,69899,Four-wheel Drive,Gasoline,Automatic,5.6L V8 32V GDI DOHC,15
2023 Jeep Grand Wagoneer Series III,108868,Four-wheel Drive,Gasoline,Automatic,3.0L I6 24V GDI DOHC Twin Turbo,2903
2023 Chevrolet Traverse LS,34899,All-wheel Drive,Gasoline,9-Speed Automatic,3.6L V6 24V GDI DOHC,6
2022 Ford F-250 Lariat,99225,Four-wheel Drive,Diesel,10-Speed Automatic,6.7L V8 32V DDI OHV Turbo Diesel,0
2023 GMC Sierra 1500 Denali,78390,Four-wheel Drive,Gasoline,10-Speed Automatic,6.2L V8 16V GDI OHV,10
2023 Lexus ES 300h Base,50370,Front-wheel Drive,Hybrid,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid,15
2023 Ford Bronco Outer Banks Advanced,44508,Four-wheel Drive,Gasoline,10-Speed Automatic,2.3L I4 16V GDI DOHC Turbo,
2022 RAM 3500 Longhorn,95455,Four-wheel Drive,Diesel,Aisin 6-Speed Automatic,6.7L I6 24V DDI OHV Turbo Diesel,13
2024 BMW X5 sDrive40i,,Rear-wheel Drive,Gasoline,Automatic,NoInfo,3
2023 Ford Transit-250 Base,95900,All-wheel Drive,Gasoline,10-Speed Automatic with Overdrive,3.5L V6 24V GDI DOHC Twin Turbo,354
2023 GMC Sierra 1500 Elevation,63657,Four-wheel Drive,Diesel,Automatic,3.0L I6 24V DDI DOHC Turbo Diesel,5
2024 BMW X5 xDrive40i,72555,All-wheel Drive,Gasoline,Automatic,NoInfo,7
2023 Hyundai Santa Fe HEV Limited,44000,All-wheel Drive,Hybrid,Automatic,1.6L I4 16V GDI DOHC Turbo Hybrid,4
2023 Jeep Grand Cherokee Overland,57951,Four-wheel Drive,Gasoline,Automatic,3.6L V6 24V MPFI DOHC,8
2022 RAM 1500 Big Horn,59017,Four-wheel Drive,Gasoline,8-Speed Automatic,5.7L V8 16V MPFI OHV,
2023 Chevrolet Trailblazer RS,27495,Front-wheel Drive,Gasoline,,1.3L I3 12V GDI DOHC Turbo,15
2022 Jeep Grand Cherokee Limited,47475,Rear-wheel Drive,Gasoline,Automatic,3.6L V6 24V MPFI DOHC,4099
2023 Hyundai Santa Fe HEV Limited,42867,All-wheel Drive,Hybrid,6-Speed Automatic with SHIFTRONIC,1.6L I4 16V GDI DOHC Turbo Hybrid,5
2022 Ford F-150 Platinum,69683,Four-wheel Drive,Hybrid,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo Hybrid,2
2023 Dodge Challenger SRT Hellcat,84738,Rear-wheel Drive,Gasoline,Automatic,6.2L V8 16V MPFI OHV Supercharged,3
2023 Hyundai IONIQ 5 SEL,52820,All-wheel Drive,Automatic,Electric,NoInfo,
2022 Mercedes-Benz C-Class C 300 4MATIC,50550,All-wheel Drive,Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,11
2023 Mercedes-Benz AMG GLE 53 Base,90210,All-wheel Drive,Gasoline,Automatic,3.0L I6 24V GDI DOHC Turbo,10
2024 Mazda CX-90 3.3 Turbo Preferred Plus,47350,All-wheel Drive,Gasoline,Automatic,NoInfo,6
2023 Acura TLX Type S wPerformance Tire,58145,All-wheel Drive,Gasoline,10-Speed Automatic,3.0L V6 24V GDI DOHC Turbo,3
2022 Lincoln Corsair Reserve,50355,All-wheel Drive,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,44
2024 BMW X5 M60I,97255,All-wheel Drive,Gasoline,Automatic,NoInfo,12
2023 Mercedes-Benz AMG GLE 53 Base,93345,All-wheel Drive,Gasoline,9-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,7
2023 Kia Sorento Hybrid EX,42355,All-wheel Drive,Hybrid,6-Speed Automatic,1.6L I4 16V GDI DOHC Turbo Hybrid,5
2022 Chevrolet Silverado 1500 RST,57791,Four-wheel Drive,Gasoline,Automatic,5.3L V8 16V GDI OHV,2976
2023 Lincoln Navigator Reserve,106215,Four-wheel Drive,Gasoline,10-Speed Automatic with Overdrive,3.5L V6 24V PDI DOHC Twin Turbo,26
2023 Toyota Sienna XLE,,All-wheel Drive,Hybrid,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid,0
2023 Chevrolet Silverado 3500 High Country,86635,Four-wheel Drive,Diesel,Automatic,6.6L V8 32V DDI OHV Turbo Diesel,9
2023 Jeep Grand Cherokee L Limited,48496,Four-wheel Drive,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,1
2022 Ford Bronco,59205,Four-wheel Drive,Gasoline,10-Speed Automatic,2.3L I4 16V GDI DOHC Turbo,76
2023 Dodge Durango SRT Hellcat,126230,All-wheel Drive,Gasoline,8-Speed Automatic,6.2L V8 Supercharged,
2023 Toyota Tundra SR5,60318,Four-wheel Drive,Gasoline,Automatic,3.5L V6 24V PDI DOHC Twin Turbo,0
2023 Ford Bronco Sport Big Bend,33130,Four-wheel Drive,Gasoline,8-Speed Automatic,1.5L I3 12V PDI DOHC Turbo,3
2023 Toyota Highlander Hybrid XLE,52593,All-wheel Drive,Hybrid,Automatic,2.5L I4 16V PDI DOHC Hybrid,49
2023 Volkswagen ID.4 Pro S,51101,Rear-wheel Drive,1-Speed Automatic,0.0L,NoInfo,
2022 Ford EcoSport SE,27206,Four-wheel Drive,Gasoline,6-Speed Automatic,2.0L I4 16V GDI DOHC,34
2023 Nissan Leaf SV PLUS,38440,Front-wheel Drive,Automatic,Electric,NoInfo,
2023 Mercedes-Benz S-Class S 580 4MATIC,142315,All-wheel Drive,Gasoline,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo,5
2022 Ford F-150 Raptor,83640,Four-wheel Drive,Gasoline,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,59
2023 Jeep Wrangler Rubicon,56985,Four-wheel Drive,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,11
2023 Toyota Camry Hybrid XSE,39151,Front-wheel Drive,Hybrid,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid,0
2023 Dodge Charger Scat Pack,53436,Rear-wheel Drive,Gasoline,8-Speed Automatic,6.4L V8 16V MPFI OHV,5
2024 Lexus NX 350 350 F HANDLING,53730,All-wheel Drive,Gasoline,8-Speed Automatic,2.4L I4 DOHC 16V,
2023 Toyota 4Runner TRD Off Road,45694,Four-wheel Drive,Gasoline,Automatic,4.0L V6 24V MPFI DOHC,1
2023 Ford Transit-350 Base,58205,Rear-wheel Drive,Automatic,Electric Motor,NoInfo,
2023 Ford Bronco Outer Banks,55990,Four-wheel Drive,Gasoline,,2.3L I4 16V GDI DOHC Turbo,0
2023 Jeep Wrangler Sport,32922,Four-wheel Drive,Gasoline,Automatic,3.6L V6 24V MPFI DOHC,6
2023 Jeep Wrangler Sport,38035,Four-wheel Drive,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,
2023 Honda CR-V Hybrid Sport,35650,All-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,20
2023 Chevrolet Silverado 1500 LTZ,63135,Four-wheel Drive,Gasoline,Automatic,5.3L V8 16V GDI OHV,0
2023 Kia Sportage Hybrid SX-Prestige,42005,All-wheel Drive,Hybrid,6-Speed Automatic,1.6L I4 16V GDI DOHC Turbo Hybrid,10
2023 BMW X3 M40i,67570,All-wheel Drive,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,8
2022 Ford F-150 XLT,46675,Rear-wheel Drive,Gasoline,10-Speed Automatic,5.0L V8 32V PDI DOHC,12
2023 Nissan Armada Platinum,67999,Four-wheel Drive,Gasoline,Automatic,5.6L V8 32V GDI DOHC,10
2023 Chevrolet Traverse LS,36915,All-wheel Drive,Gasoline,,3.6L V6 24V GDI DOHC,40
2022 Lincoln Corsair Standard,43325,All-wheel Drive,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,7334
2023 Chevrolet Silverado 3500 LTZ,74520,Four-wheel Drive,Diesel,Automatic,6.6L V8 32V DDI OHV Turbo Diesel,10
2022 Ford F-150 Lariat,67235,Four-wheel Drive,Gasoline,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,20
2023 Subaru Forester,29222,All-wheel Drive,,Automatic CVT,NoInfo,1
2023 BMW M850 i xDrive,110795,All-wheel Drive,Gasoline,8-Speed Automatic,4.4L V8 32V GDI DOHC Twin Turbo,8
2022 RAM 2500 Big Horn,60700,Four-wheel Drive,Diesel,6-Speed Automatic,6.7L I6 24V DDI OHV Turbo Diesel,13
2023 Toyota Tacoma SR,30862,NoInfo,Gasoline,Automatic,2.7L I4 16V MPFI DOHC,0
2023 Hyundai IONIQ 5 SE,47340,Rear-wheel Drive,Automatic,Electric,NoInfo,
2023 Nissan Rogue S,30153,All-wheel Drive,Gasoline,Automatic CVT,1.5L I3 12V GDI DOHC Turbo,0
2023 Jeep Wrangler Sport,39481,Four-wheel Drive,Gasoline,Automatic,3.6L V6 24V MPFI DOHC,1
2024 BMW X5 xDrive40i,73970,All-wheel Drive,Gasoline,8-Speed Automatic,3.0L I6 24V DOHC,
2023 Volkswagen Tiguan 2.0T SE R-Line Black,34977,Front-wheel Drive,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,0
2023 Kia Sorento Hybrid EX,41905,All-wheel Drive,Hybrid,Automatic,1.6L I4 16V GDI DOHC Turbo Hybrid,12
2023 Genesis G70 3.3T,57570,All-wheel Drive,Gasoline,8-Speed Automatic,3.3L V6 24V GDI DOHC Twin Turbo,8
2023 Toyota Camry LE,29545,All-wheel Drive,Gasoline,8-Speed Automatic,2.5L I4 16V PDI DOHC,
2023 Toyota Sequoia TRD Pro,80729,Four-wheel Drive,Hybrid,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo Hybrid,10
2023 Kia Telluride LX,38975,Front-wheel Drive,Gasoline,8-Speed Automatic,3.8L V6 24V GDI DOHC,1
2023 Nissan Pathfinder Platinum,49562,Four-wheel Drive,Gasoline,Automatic,3.5L V6 24V GDI DOHC,6
2023 GMC Yukon SLT,73075,Four-wheel Drive,Gasoline,Automatic,5.3L V8 16V GDI OHV,0
2017 GMC Yukon Denali,42994,Four-wheel Drive,Gasoline,8-Speed Automatic,6.2L V8 16V GDI OHV,63782
2023 Chevrolet Colorado Trail Boss,42610,Four-wheel Drive,Gasoline,8-Speed Automatic,2.7L I4 16V GDI DOHC Turbo,7
2022 Lexus RX 350 Base,49350,All-wheel Drive,Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,
2022 Ford F-150 XL,37990,Four-wheel Drive,Gasoline,,2.7L V6 24V PDI DOHC Twin Turbo,551
2022 Toyota Tacoma TRD Sport,39582,Four-wheel Drive,Gasoline,6-Speed Automatic,3.5L V6 24V PDI DOHC,0
2022 Mercedes-Benz C-Class C 300 4MATIC,49910,All-wheel Drive,Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,20
2023 Ford Ranger XL,29145,Rear-wheel Drive,Gasoline,Automatic,2.3L I4 16V GDI DOHC Turbo,0
2023 Ford Bronco Wildtrak,71405,Four-wheel Drive,Gasoline,10-Speed Automatic,2.7L V6 24V PDI DOHC Twin Turbo,5
2023 Dodge Challenger SXT,39620,All-wheel Drive,Gasoline,Automatic,3.6L V6 24V MPFI DOHC,1
2023 Ford Ranger XLT,43976,Four-wheel Drive,Gasoline,10-Speed Automatic,2.3L I4 16V GDI DOHC Turbo,12
2022 Ford Mustang GT Premium,47693,Rear-wheel Drive,Gasoline,10-Speed Automatic,5.0L V8 32V PDI DOHC,3
2023 BMW 760 760i xDrive,117945,All-wheel Drive,Gasoline,Automatic,4.4L V8 32V GDI DOHC Twin Turbo,30
2023 Toyota Tundra Hybrid Limited,64332,Rear-wheel Drive,Hybrid,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo Hybrid,1
2023 Land Rover Defender 110 X,102295,Four-wheel Drive,Gasoline,Automatic,3.0L I6 24V GDI DOHC Turbo,12
2023 Chevrolet Tahoe RST,68625,NoInfo,Gasoline,,5.3L V8 16V GDI OHV,3
2023 Chevrolet Tahoe LS,63990,Four-wheel Drive,Gasoline,10-Speed Automatic with Overdrive,5.3L V8 16V GDI OHV,2
2023 Nissan Frontier PRO-4X,44050,Four-wheel Drive,Gasoline,Automatic,3.8L V6 24V GDI DOHC,17
2023 Volkswagen Jetta 1.5T Sport,24428,Front-wheel Drive,Gasoline,8-Speed Automatic,1.5L I4 16V GDI DOHC Turbo,10
