Name,Price,Drive-type,Fuel-type,Transmission,Engine,Mileague
2022 Jeep Wrangler Unlimited Sport,47977,Four-wheel Drive,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,7023
2023 Ford Ranger XLT,42875,Four-wheel Drive,Gasoline,Automatic,2.3L I4 16V GDI DOHC Turbo,10
2023 Chrysler Pacifica Limited,49245,All-wheel Drive,Gasoline,9-Speed Automatic,3.6L V6 24V MPFI DOHC,5
2022 Jeep Wrangler Unlimited 4xe Rubicon,60303,Four-wheel Drive,Hybrid,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo Hybrid,11
2023 Volkswagen Tiguan 2.0T SE,33866,Front-wheel Drive,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,4
2023 Audi A4 allroad 45 quattro Premium,55700,All-wheel Drive,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,4
2023 Audi e-tron GT Premium Plus,111215,All-wheel Drive,1-Speed Automatic,Electric,NoInfo,
2023 Subaru WRX Premium,34989,All-wheel Drive,Gasoline,6-Speed Manual,2.4L H4 16V GDI DOHC Turbo,4
2023 Cadillac CT5 Luxury AWD,45515,All-wheel Drive,Gasoline,10-Speed Automatic,2.0L 4 Cyl.,959
2023 Nissan Pathfinder Rock Creek,45710,Four-wheel Drive,Gasoline,Automatic,3.5L V6 24V GDI DOHC,105
2023 Mercedes-Benz E-Class E 450 4MATIC,94655,All-wheel Drive,Gasoline,Automatic,3.0L I6 24V GDI DOHC Turbo,0
2023 Hyundai Palisade Limited,51505,All-wheel Drive,Gasoline,Automatic,3.8L V6 24V GDI DOHC,0
2024 Mazda CX-90 Preferred Plus,46806,All-wheel Drive,Gasoline,8-Speed Automatic,NoInfo,5
2022 Chevrolet Silverado 2500 WT,46150,Four-wheel Drive,Gasoline,6-Speed Automatic,6.6L V8 16V GDI OHV,22
2023 Toyota 4Runner SR5,42347,Rear-wheel Drive,Gasoline,5-Speed,4.0L V6 24V MPFI DOHC,0
2023 Mercedes-Benz GLS 450 4MATIC,89095,All-wheel Drive,Gasoline,9-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,2
2023 Land Rover Range Rover P530 SE,152510,All-wheel Drive,Gasoline,Automatic,4.4L V8 32V GDI DOHC Twin Turbo,38
2023 Audi e-tron GT Premium Plus,120415,All-wheel Drive,1-Speed Automatic,Electric,NoInfo,
2023 Ford Bronco,60040,Four-wheel Drive,Gasoline,10-Speed Automatic,2.7L V6 24V PDI DOHC Twin Turbo,5
2023 Toyota Camry XSE,34811,Front-wheel Drive,Gasoline,8-Speed Automatic,2.5L I4 16V PDI DOHC,
2023 Land Rover Discovery Sport S R-Dynamic,52480,Four-wheel Drive,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,9
2022 Lincoln Nautilus Reserve,62000,All-wheel Drive,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,13
2022 Ford F-150 Lariat,79950,Four-wheel Drive,Gasoline,10-Speed Automatic,5.0L V8 32V PDI DOHC,12
2023 Honda Accord Hybrid Sport,32895,Front-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,4150
2023 Bentley Continental GT,343560,All-wheel Drive,Gasoline,8-Speed,4.0L V8 32V GDI DOHC Twin Turbo,33
2023 Ford Mustang GT Premium,52325,NoInfo,Gasoline,10-Speed Automatic,5.0L V8 32V PDI DOHC,0
2023 Volkswagen Atlas Cross Sport 3.6L V6 SE wTechnology,43864,All-wheel Drive,Gasoline,8-Speed Automatic,3.6L V6 24V GDI DOHC,9
2022 Ford Escape SE,32999,All-wheel Drive,Gasoline,8-Speed Automatic,1.5L I3 12V PDI DOHC Turbo,24
2023 Mercedes-Benz S-Class S 580 4MATIC,144235,All-wheel Drive,Gasoline,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo,7
2023 Ford Expedition Limited,76895,Four-wheel Drive,Gasoline,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,0
2023 Toyota Camry XSE,34851,All-wheel Drive,Gasoline,8-Speed Automatic,2.5L I4 16V PDI DOHC,
2023 Audi A4 40 Premium,47560,All-wheel Drive,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,7
2022 Ford F-250 XLT,61705,Four-wheel Drive,Gasoline,Automatic,7.3L V8 16V MPFI OHV,27
2023 Kia Telluride EX X-Line,50770,All-wheel Drive,Gasoline,Automatic,3.8L V6 24V GDI DOHC,7
2022 Mercedes-Benz CLS 450 Base 4MATIC,96020,All-wheel Drive,Gasoline,9-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,8
2023 Toyota RAV4 XLE,31574,Front-wheel Drive,Gasoline,8-Speed Automatic,2.5L I4 16V PDI DOHC,
2023 RAM 1500 Laramie,55185,Four-wheel Drive,Gasoline,8-Speed Automatic,5.7L V8 16V MPFI OHV,0
2023 Ford Bronco Outer Banks,48030,Four-wheel Drive,Gasoline,10-Speed Automatic,2.7L V6 24V PDI DOHC Twin Turbo,15
2023 Chevrolet Silverado 3500 WT,69941,Four-wheel Drive,Gasoline,6-Speed Automatic,6.6L V8 16V GDI OHV,59
2023 Ford Mustang GT Premium,54540,Rear-wheel Drive,Gasoline,10-Speed Automatic,5.0L V8 32V PDI DOHC,6
2023 Kia Sorento Hybrid EX,40165,All-wheel Drive,Hybrid,Automatic,1.6L I4 16V GDI DOHC Turbo Hybrid,13
2023 Subaru WRX Limited,37035,All-wheel Drive,Gasoline,6-Speed Manual,2.4L H4 16V GDI DOHC Turbo,0
2023 Jeep Grand Cherokee L Limited,48885,Four-wheel Drive,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,10
2023 Jeep Grand Cherokee Limited,45201,Rear-wheel Drive,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,6
2023 Lexus RX 350h Luxury,65890,All-wheel Drive,Hybrid,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid,2
2023 Ford Mustang Mach 1,64424,Rear-wheel Drive,Gasoline,Automatic,5.0L V8 32V PDI DOHC,11
2024 BMW X5 xDrive40i,74220,All-wheel Drive,Gasoline,8-Speed Automatic,3.0L I6 24V DOHC,
2023 Audi A5 45 S line Premium Plus,55665,All-wheel Drive,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,25
2023 Toyota Highlander Hybrid Limited,54460,All-wheel Drive,Hybrid,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid,
2023 RAM 2500 Limited,92468,Four-wheel Drive,Diesel,6-Speed Automatic,6.7L I6 24V DDI OHV Turbo Diesel,5
2023 Chevrolet Tahoe RST,70620,Rear-wheel Drive,Gasoline,10-Speed Automatic with Overdrive,5.3L V8 16V GDI OHV,26
2023 Volvo V60 Recharge Plug-In Hybrid T8 Polestar Engineered,72540,All-wheel Drive,Hybrid,Automatic,2.0L I4 16V GDI DOHC Turbo Hybrid,5
2023 Hyundai Palisade Calligraphy,53600,All-wheel Drive,Gasoline,8-Speed Automatic with SHIFTRONIC,3.8L V6 24V GDI DOHC,
2023 Honda CR-V Hybrid Sport Touring,37395,All-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,23
2023 Subaru Ascent Onyx Edition Limited,48535,All-wheel Drive,Gasoline,Automatic CVT,2.4L H4 16V GDI DOHC Turbo,0
2023 Lexus GX 460,60715,Four-wheel Drive,Gasoline,6-Speed Automatic with Sequential Shift,4.6L V8 32V MPFI DOHC,7
2024 Mazda CX-90 S Premium,58420,All-wheel Drive,Gasoline,8-Speed Automatic,NoInfo,11
2023 Audi Q8 55 Premium,84340,All-wheel Drive,Gasoline,Automatic with Tiptronic,3.0L V6 24V GDI DOHC Turbo,
2024 BMW X5 xDrive40i,77609,All-wheel Drive,Gasoline,8-Speed Automatic,3.0L I6 24V DOHC,6
2023 Mazda CX-50 2.5 Turbo Premium Package,40655,All-wheel Drive,Gasoline,6-Speed Automatic,2.5L I4 16V GDI DOHC Turbo,0
2022 RAM 3500 Tradesman,54922,Four-wheel Drive,Diesel,6-Speed Automatic,6.7L I6 24V DDI OHV Turbo Diesel,10
2023 Jeep Wrangler Sahara,60515,Four-wheel Drive,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,13
2023 Audi A4 allroad 45 quattro Premium,56005,All-wheel Drive,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,5
2022 Toyota Tacoma SR,35758,Four-wheel Drive,Gasoline,6-Speed Automatic,3.5L V6 24V PDI DOHC,
2023 Chevrolet Silverado 3500 WT,74063,Four-wheel Drive,Diesel,10-Speed Automatic,6.6L V8 32V DDI OHV Turbo Diesel,1
2023 Cadillac CT5-V V-Series Blackwing,109015,Rear-wheel Drive,Gasoline,10-Speed Automatic,6.2L V8 16V GDI OHV Supercharged,2
2023 BMW X3 M40i,65545,All-wheel Drive,Gasoline,Automatic,3.0L I6 24V GDI DOHC Turbo,2
2023 Chevrolet Equinox RS,,All-wheel Drive,Gasoline,6-Speed Automatic,1.5L I4 16V GDI DOHC Turbo,3
2023 Honda CR-V EX-L,35555,Front-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,3
2023 Jeep Grand Cherokee Limited,44500,Rear-wheel Drive,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,
2022 GMC Sierra 1500 Denali,70801,Four-wheel Drive,Diesel,10-Speed Automatic,3.0L I6 24V DDI DOHC Turbo Diesel,6
2024 Mazda CX-90 S Premium,58420,All-wheel Drive,Gasoline,8-Speed Automatic,NoInfo,3
2023 Hyundai Santa Fe SEL,36862,All-wheel Drive,Gasoline,Automatic with Overdrive,2.5L I4 16V PDI DOHC,15
2023 Nissan Frontier SV,39180,Four-wheel Drive,Gasoline,Automatic,3.8L V6 24V GDI DOHC,173
2023 Toyota Corolla Hatchback SE,26389,Front-wheel Drive,Gasoline,Automatic CVT,2.0L I4 16V PDI DOHC,0
2023 Cadillac LYRIQ Luxury,70985,Rear-wheel Drive,Automatic,Electric,NoInfo,
2023 Genesis GV70 2.5T,54230,All-wheel Drive,Gasoline,Automatic,2.5L I4 16V PDI DOHC Turbo,8
2024 BMW X5 PHEV XDRIVE50E,81760,All-wheel Drive,Gasoline,Automatic,NoInfo,0
2023 Nissan Pathfinder SL,44349,Front-wheel Drive,Gasoline,Automatic,3.5L V6 24V GDI DOHC,2
2022 Mercedes-Benz Maybach S 580 4MATIC,279995,All-wheel Drive,Gasoline,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo,135
2023 Ford Maverick XLT,32180,Front-wheel Drive,Hybrid,Automatic CVT,2.5L I4 16V MPFI DOHC Hybrid,
2023 Toyota Camry XLE,37607,Front-wheel Drive,Gasoline,8-Speed Automatic,2.5L I4 16V PDI DOHC,1
2023 Hyundai Sonata SEL,29030,Front-wheel Drive,Gasoline,8-Speed Automatic with SHIFTRONIC,2.5L I4 16V PDI DOHC,5640
2023 Nissan ARIYA EVOLVE,52914,Front-wheel Drive,Automatic,Electric,NoInfo,
2021 Chevrolet Tahoe LT,56690,Rear-wheel Drive,Gasoline,10-Speed Automatic,5.3L V8 16V GDI OHV,0
2023 Honda Pilot EX-L 7-Passenger,45695,All-wheel Drive,Gasoline,Automatic,3.5L V6 24V GDI DOHC,31
2023 INFINITI QX80 PREMIUM SELECT,75798,Rear-wheel Drive,Gasoline,Automatic,5.6L V8 32V GDI DOHC,6
2023 Volkswagen Golf GTI 2.0T SE,38605,Front-wheel Drive,Gasoline,6-Speed Manual,2.0L I4 16V GDI DOHC Turbo,0
2023 Audi A4 40 Premium Plus,50240,All-wheel Drive,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,10
2023 Audi e-tron GT Premium Plus,106990,All-wheel Drive,1-Speed Automatic,Electric,NoInfo,
2023 Honda Pilot LX,38850,NoInfo,Gasoline,10-Speed Automatic with Overdrive,3.5L V6,3
2023 Ford F-250 XL,64715,Four-wheel Drive,Diesel,Automatic,6.7L V8 32V DDI OHV Turbo Diesel,6
2023 Dodge Durango SXT,36610,Rear-wheel Drive,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,12
2023 Lexus ES 350 Luxury,54257,Front-wheel Drive,Gasoline,Automatic,3.5L V6 24V PDI DOHC,5
2023 Mazda CX-30 Premium Package,33120,All-wheel Drive,Gasoline,6-Speed Automatic,2.5L I4 16V GDI DOHC,4
2023 Toyota 4Runner Limited 4WD,49540,Four-wheel Drive,Gasoline,5-Speed Automatic,4.0L V6 24V MPFI DOHC,2
2022 Dodge Challenger RT,41640,Rear-wheel Drive,Gasoline,8-Speed Automatic,5.7L V8 16V MPFI OHV,51
2023 Kia Niro Plug-In Hybrid SX Touring,41840,Front-wheel Drive,Hybrid,6-Speed DCT Automatic,1.6L I4 16V GDI DOHC Hybrid,21
2023 INFINITI QX60 Pure,53205,All-wheel Drive,Gasoline,Automatic,3.5L V6 24V GDI DOHC,2
2023 Ford Bronco Sport Badlands,45380,Four-wheel Drive,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,0
2023 Toyota Highlander L,38313,Front-wheel Drive,Gasoline,8-Speed Automatic,2.4L I4 16V PDI DOHC Turbo,
2023 Chevrolet Silverado 1500 WT,42225,Four-wheel Drive,Gasoline,8-Speed Automatic,2.7L I4 16V GDI DOHC Turbo,1
2023 Jaguar F-TYPE P450 R-Dynamic,98080,All-wheel Drive,Gasoline,Automatic,NoInfo,17
2023 GMC Yukon SLT,71490,NoInfo,Gasoline,10-Speed Automatic,5.3L V8 16V GDI OHV,0
2023 Hyundai Santa Fe SEL,39205,Front-wheel Drive,Gasoline,8-Speed Automatic with SHIFTRONIC,2.5L I4 16V PDI DOHC,6
2023 Honda Pilot Touring,50245,All-wheel Drive,Gasoline,10-Speed Automatic,3.5L V6 24V GDI DOHC,
2023 GMC Yukon XL Denali,87985,Four-wheel Drive,Gasoline,10-Speed Automatic,6.2L V8 16V GDI OHV,0
2022 Ford F-150 XLT,41856,Rear-wheel Drive,Gasoline,Automatic,2.7L V6 24V PDI DOHC Twin Turbo,390
2022 RAM 2500 Tradesman,49285,Four-wheel Drive,Gasoline,8-Speed Automatic,6.4L V8 16V MPFI OHV,11
2022 Jeep Wrangler Unlimited 4xe Sahara,62795,Four-wheel Drive,Hybrid,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo Hybrid,0
2023 Hyundai Sonata SEL,28985,Front-wheel Drive,Gasoline,8-Speed Automatic with SHIFTRONIC,2.5L I4 16V PDI DOHC,9
2023 Hyundai Sonata SEL,29380,Front-wheel Drive,Gasoline,Automatic,4 Cylinder,
2022 Ford F-250 XLT,77985,Four-wheel Drive,Diesel,10-Speed Automatic,6.7L V8 32V DDI OHV Turbo Diesel,3
2023 Ford F-150 Lightning LARIAT,88024,All-wheel Drive,Automatic,Electric,NoInfo,
2023 Ford F-150 XL,51730,Four-wheel Drive,Gasoline,Automatic,2.7L V6 24V PDI DOHC Twin Turbo,0
2023 Cadillac Escalade ESV Sport,,Four-wheel Drive,Gasoline,10-Speed Automatic,6.2L V8 16V GDI OHV,
2023 Toyota 4Runner TRD Off Road Premium,53163,Four-wheel Drive,Gasoline,5-Speed,4.0L V6 24V MPFI DOHC,5
2023 Kia Telluride SX X-Line,51465,All-wheel Drive,Gasoline,8-Speed Automatic,3.8L V6 24V GDI DOHC,5
2023 Toyota Tacoma TRD Sport,43477,Four-wheel Drive,Gasoline,6-Speed,3.5L V6 24V PDI DOHC,3
2023 Ford Mustang Mach-E Select,50791,All-wheel Drive,Automatic,Electric,NoInfo,
2023 Toyota Tundra Hybrid Limited,64858,Four-wheel Drive,Hybrid,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo Hybrid,2
2023 Volvo C40 Recharge Pure Electric Twin Core,52460,All-wheel Drive,1-Speed Automatic,Electric,NoInfo,
2023 Ford F-350 XL,52835,Four-wheel Drive,Gasoline,,8 Cylinder,5
2023 Ford F-350 Lariat Super Duty,98105,Four-wheel Drive,Gasoline,10-Speed Automatic,3.7L V6,2
2013 Porsche 911 Carrera S,76988,Rear-wheel Drive,Gasoline,7-Speed PDK Automatic,3.4L H6 24V GDI DOHC,39557
2015 Chevrolet Silverado 2500 LT,29549,Four-wheel Drive,Gasoline,6-Speed Automatic,NoInfo,88390
2012 Ford F-250 King Ranch,30896,Four-wheel Drive,Diesel,6-Speed Automatic,6.7L V8 32V DDI OHV Turbo Diesel,165757
2018 Ford F-150 Lariat,38198,Four-wheel Drive,Gasoline,10-Speed Automatic,5.0L V8 32V PDI DOHC,67050
2005 Toyota RAV4 Base,9500,All-wheel Drive,Gasoline,4-Speed Automatic,2.4L I4 16V MPFI DOHC,100071
2022 Polestar 2 Long Range Dual Motor,36999,All-wheel Drive,1-Speed Automatic,Electric,NoInfo,
2023 Chevrolet Suburban Premier,79800,Four-wheel Drive,Gasoline,10-Speed Automatic with Overdrive,5.3L V8 16V GDI OHV,5509
2022 Porsche Cayenne Turbo GT,189130,All-wheel Drive,Gasoline,8-Speed Automatic with Tiptronic,4.0L V8,4525
2011 Chevrolet Camaro 1LS,10888,Rear-wheel Drive,Gasoline,6-Speed Manual,3.6L V6 24V GDI DOHC,100233
2016 Land Rover Range Rover Sport 3.0L Turbocharged Diesel HSE Td6,27495,Four-wheel Drive,Diesel,8-Speed Automatic,3.0L V6 24V DDI DOHC Turbo Diesel,94006
2020 Kia Telluride EX,32045,Front-wheel Drive,Gasoline,8-Speed Automatic,3.8L V6 24V GDI DOHC,69995
2021 Toyota RAV4 Prime SE,40483,All-wheel Drive,Hybrid,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid,38366
2020 Lexus LS 500 Base,47997,All-wheel Drive,Gasoline,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,83685
2023 Porsche Cayenne S,112000,All-wheel Drive,Gasoline,8-Speed Automatic with Tiptronic,2.9L V6 24V GDI DOHC Twin Turbo,1950
2019 Ford F-250 XLT,43835,Four-wheel Drive,Diesel,Automatic,Powerstroke 6.7L V-8 diesel direct injection intercooled turbo,70227
2022 Tesla Model Y Performance,55998,All-wheel Drive,Automatic,Electric,NoInfo,
2023 Ford Bronco Big Bend,51665,Four-wheel Drive,Gasoline,10-Speed Automatic,2.7L V6 24V PDI DOHC Twin Turbo,1
2016 Porsche 911 Turbo,127995,All-wheel Drive,Gasoline,7-Speed Automatic with Auto-Shift,3.8L H6 24V GDI DOHC Twin Turbo,20294
2016 Mercedes-Benz GLE-Class GLE 350 4MATIC,23997,All-wheel Drive,E85 Flex Fuel,7-Speed Automatic,3.5L V6 24V GDI DOHC Flexible Fuel,64294
2023 Nissan Pathfinder Rock Creek,45315,Four-wheel Drive,Gasoline,Automatic,3.5L V6 24V GDI DOHC,5
2022 INFINITI QX50 AUTOGRAPH,41937,All-wheel Drive,Gasoline,Automatic CVT,2.0L I4 16V PDI DOHC Turbo,14944
2013 Acura TL Technology,12792,Front-wheel Drive,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI SOHC,95493
2022 GMC Sierra 1500 Elevation,56440,Four-wheel Drive,Gasoline,Automatic,2.7L I-4 gasoline direct injection DOHC variable valve control,1111
2016 Mercedes-Benz C-Class C 300,24541,All-wheel Drive,Gasoline,7-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,38229
2023 Jeep Grand Cherokee L Limited,52583,Four-wheel Drive,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,0
2023 Kia Carnival LX,41499,Front-wheel Drive,Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,9500
2008 Honda Accord EX-L,9450,Front-wheel Drive,Gasoline,5-Speed Automatic,3.5L V6 24V MPFI SOHC,120036
2023 Toyota RAV4 Hybrid Limited,46733,All-wheel Drive,Hybrid,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid,3
2017 Hyundai Tucson SE Plus,18359,All-wheel Drive,Gasoline,6-Speed Automatic,2.0L I4 16V GDI DOHC,62769
2018 Lincoln Navigator Reserve,47995,Four-wheel Drive,Gasoline,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,52366
2021 Buick Encore GX Select,23969,Front-wheel Drive,Gasoline,Automatic CVT,1.3L I3 12V GDI DOHC Turbo,29934
2014 Dodge Challenger SXT,19591,Rear-wheel Drive,Gasoline,5-Speed Automatic,3.6L V6 24V MPFI DOHC,85275
2023 Ford Maverick Lariat,43220,Front-wheel Drive,Hybrid,Automatic CVT,2.5L I4 16V MPFI DOHC Hybrid,32
2023 Acura Integra A-Spec,35914,Front-wheel Drive,Gasoline,A,1.5L I-4 gasoline direct injection DOHC VTEC variable valve co,3
2019 Honda Ridgeline RTL,31493,All-wheel Drive,Gasoline,6-Speed Automatic,3.5L V6 24V GDI SOHC,41634
2022 Toyota Avalon Hybrid XSE Nightshade,36985,Front-wheel Drive,Hybrid,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid,26063
2022 GMC Sierra 1500 Denali,74915,Four-wheel Drive,Gasoline,Automatic,EcoTec3 6.2L V-8 gasoline direct injection variable valve contr,7
2023 BMW iX M60,113245,All-wheel Drive,Automatic,Electric,NoInfo,
2021 Ford Bronco Sport Outer Banks,30500,Four-wheel Drive,Gasoline,Automatic,EcoBoost 1.5L I-3 portdirect injection DOHC Ti-VCT variable v,49390
2010 Toyota Highlander Base,13800,All-wheel Drive,Gasoline,5-Speed Automatic,3.5L V6 24V MPFI DOHC,95238
2010 Mercedes-Benz CL-Class CL 550 4MATIC,14500,All-wheel Drive,Gasoline,7-Speed Automatic,5.5L V8 32V MPFI DOHC,92222
2014 Toyota RAV4 LE,17200,Front-wheel Drive,Gasoline,6-Speed Automatic,2.5L I4 16V MPFI DOHC,83982
2022 Jeep Wrangler Unlimited Sahara,60075,Four-wheel Drive,Gasoline,Automatic,2L I-4 gasoline direct injection DOHC intercooled turbo engin,22
2017 Ford Expedition Limited,24000,Rear-wheel Drive,Gasoline,6-Speed Automatic,3.5L V6 24V GDI DOHC Twin Turbo,101897
2016 Tesla Model X 60D,39500,All-wheel Drive,1-Speed Automatic,Electric,NoInfo,
2021 Chevrolet Tahoe Z71,60896,Four-wheel Drive,Gasoline,10-Speed Automatic,5.3L V8 16V GDI OHV,34997
2020 Mazda CX-30 Preferred,25936,All-wheel Drive,Gasoline,6-Speed Automatic,2.5L I4 16V GDI DOHC,15418
2023 Subaru Outback,30023,All-wheel Drive,Gasoline,Automatic Lineartronic CVT,2.5L H4 16V GDI DOHC,4
2018 Lincoln Navigator Black Label,50800,Four-wheel Drive,Gasoline,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,54121
2012 Kia Soul ,5297,Front-wheel Drive,Gasoline,6-Speed Manual,2.0L I4 16V MPFI DOHC,129928
2010 Volvo S40 2.4i,8724,Front-wheel Drive,Gasoline,5-Speed Automatic,2.4L I5 20V MPFI DOHC,106683
2009 Porsche 911 Carrera,44997,Rear-wheel Drive,Gasoline,7-Speed Automatic with Auto-Shift,3.6L H6 24V GDI DOHC,40190
2020 Toyota Land Cruiser Base,79995,Four-wheel Drive,Gasoline,8-Speed Automatic,5.7L V8 32V MPFI DOHC,52159
2023 Tesla Model Y Long Range,55000,All-wheel Drive,1-Speed Automatic,Electric,NoInfo,
2023 GMC Sierra 1500 Base,43805,Four-wheel Drive,Gasoline,Automatic,2.7L I-4 gasoline direct injection DOHC variable valve control,5
2023 Toyota Tundra Limited,60162,Four-wheel Drive,Gasoline,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,0
2017 Ford F-350 Platinum,59857,Four-wheel Drive,Diesel,6-Speed Automatic,6.7L V8 32V DDI OHV Turbo Diesel,66711
2022 GMC Sierra 1500 Base,48045,Four-wheel Drive,Gasoline,,8 Cylinder Engine,16
2019 Audi A6 55 Premium Plus,37950,All-wheel Drive,Gasoline,7-Speed Automatic with Auto-Shift,3.0L V6 24V GDI DOHC Turbo,14219
2023 Chevrolet Tahoe LS,55548,Four-wheel Drive,Gasoline,Automatic,EcoTec3 5.3L V-8 gasoline direct injection variable valve contr,125
2023 Ford Bronco Sport Heritage,36515,Four-wheel Drive,Gasoline,8-Speed Automatic,1.5L I3 12V PDI DOHC Turbo,0
2019 Ford Expedition Max Platinum,39120,Rear-wheel Drive,Gasoline,10-Speed Automatic,3.5L V6 24V GDI DOHC Twin Turbo,69240
2015 Chevrolet Silverado 1500 LT,12995,Four-wheel Drive,Gasoline,6-Speed Automatic,5.3L V8 16V GDI OHV,226321
2023 GMC Sierra 1500 Pro,,Four-wheel Drive,Gasoline,8-Speed Automatic,2.7L I4 16V GDI DOHC Turbo,
2022 Toyota 4Runner TRD Pro,57702,Four-wheel Drive,Gasoline,5-Speed Automatic,4.0L V6 24V MPFI DOHC,5333
2023 Ford Explorer XLT,37404,Rear-wheel Drive,Gasoline,10-Speed Automatic,2.3L I4 16V GDI DOHC Turbo,
2023 Jeep Renegade Altitude,33580,Four-wheel Drive,Gasoline,Automatic,1.3L I-4 gasoline direct injection Multiair variable valve cont,5
2022 Ford Edge SE,35000,All-wheel Drive,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,12
2021 Toyota 4Runner SR5,36566,Four-wheel Drive,Gasoline,5-Speed Automatic,4.0L V6 24V MPFI DOHC,60141
2015 Jeep Grand Cherokee Limited,12959,Four-wheel Drive,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,150636
2023 Ford Bronco Sport Big Bend,33835,Four-wheel Drive,Gasoline,8-Speed Automatic,1.5L I3 12V PDI DOHC Turbo,5
2023 Honda Pilot EX-L 8-Passenger,45395,All-wheel Drive,Gasoline,10-SPEED AT,V6 Cylinder Engine,0
2008 Buick Lucerne CXL,6199,Front-wheel Drive,Gasoline,4-Speed Automatic,3.8L V6 12V MPFI OHV,128042
2023 Volvo XC60 B5 Plus Bright Theme,53885,All-wheel Drive,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,28
2014 Dodge Charger SE,13573,Rear-wheel Drive,E85 Flex Fuel,Automatic,3.6L V6 24V MPFI DOHC Flexible Fuel,89825
2023 Chevrolet Suburban LS,61545,Four-wheel Drive,Gasoline,10-Speed Automatic with Overdrive,5.3L V8 16V GDI OHV,8
2022 Ford Bronco Base,41477,Four-wheel Drive,Gasoline,7-Speed Manual,2.3L I4 16V GDI DOHC Turbo,1876
2022 GMC Sierra 1500 AT4,58073,Four-wheel Drive,Gasoline,Automatic,EcoTec3 6.2L V-8 gasoline direct injection variable valve contr,24122
2023 Ford Bronco Raptor,125000,Four-wheel Drive,Gasoline,Automatic,3.0L V6 24V GDI DOHC Twin Turbo,7
2023 INFINITI QX80 PREMIUM SELECT,84205,Four-wheel Drive,Gasoline,Automatic,Premium Unleaded V-8 5.6 L339,7
2019 Audi A8 L 55,45888,All-wheel Drive,Gasoline,8-Speed Automatic,3.0L V6 24V GDI DOHC Turbo,50211
2015 Ford F-150 XLT,15959,Four-wheel Drive,Gasoline,Automatic,5L V-8 DOHC Ti-VCT variable valve control engine with 385HP,187388
2013 Nissan Titan SV,17995,Rear-wheel Drive,Gasoline,Automatic,Endurance 5.6L V-8 DOHC variable valve control engine with 317,105401
2010 Honda CR-V LX,7150,Four-wheel Drive,Gasoline,Automatic,2.4L I-4 DOHC i-VTEC variable valve control engine with 180HP,151997
2005 Toyota RAV4 Base,9500,All-wheel Drive,Gasoline,4-Speed Automatic,2.4L I4 16V MPFI DOHC,100071
2022 Polestar 2 Long Range Dual Motor,36999,All-wheel Drive,1-Speed Automatic,Electric,NoInfo,
2023 Chevrolet Suburban Premier,79800,Four-wheel Drive,Gasoline,10-Speed Automatic with Overdrive,5.3L V8 16V GDI OHV,5509
